1,"ABUY(UU)","new purchases of foreign assets","gdp","UU",
2,"ABUY(NN)","new purchases of foreign assets","gdp","NN",
3,"ASSE(UU,UU)","assets in each currency, including own","usgdp","UU",
4,"ASSE(UU,NN)","assets in each currency, including own","usgdp","UU",
5,"ASSE(NN,UU)","assets in each currency, including own","usgdp","UU",
6,"ASSE(NN,NN)","assets in each currency, including own","usgdp","UU",
7,"ASSU(UU)","assets held by region, in US$","gdp","UU",
8,"ASSU(NN)","assets held by region, in US$","gdp","NN",
9,"BCOL(UU)","Quads from coal","btu","UU",
10,"BCOL(NN)","Quads from coal","btu","NN",
11,"BCT(g01,UU,UU)","unit border tax adjustment","cent","UU",
12,"BCT(g01,UU,NN)","unit border tax adjustment","cent","UU",
13,"BCT(g01,NN,UU)","unit border tax adjustment","cent","NN",
14,"BCT(g01,NN,NN)","unit border tax adjustment","cent","NN",
15,"BCT(g02,UU,UU)","unit border tax adjustment","cent","UU",
16,"BCT(g02,UU,NN)","unit border tax adjustment","cent","UU",
17,"BCT(g02,NN,UU)","unit border tax adjustment","cent","NN",
18,"BCT(g02,NN,NN)","unit border tax adjustment","cent","NN",
19,"BGAS(UU)","Quads from gas","btu","UU",
20,"BGAS(NN)","Quads from gas","btu","NN",
21,"BOIL(UU)","Quads from oil","btu","UU",
22,"BOIL(NN)","Quads from oil","btu","NN",
23,"BOND(UU)","bonds","gdp","UU",
24,"BOND(NN)","bonds","gdp","NN",
25,"CAP(a01,UU)","capital stock","gdp","UU",
26,"CAP(a01,NN)","capital stock","gdp","NN",
27,"CAP(a02,UU)","capital stock","gdp","UU",
28,"CAP(a02,NN)","capital stock","gdp","NN",
29,"CAPY(UU)","raw invt capital stock","gdp","UU",
30,"CAPY(NN)","raw invt capital stock","gdp","NN",
31,"CAPZ(UU)","HH capital stock","gdp","UU",
32,"CAPZ(NN)","HH capital stock","gdp","NN",
33,"CNPE(UU)","HH demand for E","gdp","UU",
34,"CNPE(NN)","HH demand for E","gdp","NN",
35,"CNPK(UU)","HH cap services","gdp","UU",
36,"CNPK(NN)","HH cap services","gdp","NN",
37,"CNPL(UU)","HH demand for L","gdp","UU",
38,"CNPL(NN)","HH demand for L","gdp","NN",
39,"CNPO(UU)","HH demand for M","gdp","UU",
40,"CNPO(NN)","HH demand for M","gdp","NN",
41,"CON(g01,UU)","HH demand for goods","gdp","UU",
42,"CON(g01,NN)","HH demand for goods","gdp","NN",
43,"CON(g02,UU)","HH demand for goods","gdp","UU",
44,"CON(g02,NN)","HH demand for goods","gdp","NN",
45,"CONP(UU)","national accounts C","gdp","UU",
46,"CONP(NN)","national accounts C","gdp","NN",
47,"CURN(UU)","current account, dom currency, using INAS","gdp","UU",
48,"CURN(NN)","current account, dom currency, using INAS","gdp","NN",
49,"CURR(UU)","current account, US$, using IRAS","gdp","UU",
50,"CURR(NN)","current account, US$, using IRAS","gdp","NN",
51,"DEFI(UU)","fiscal deficit, using INTR","gdp","UU",
52,"DEFI(NN)","fiscal deficit, using INTR","gdp","NN",
53,"DEFN(UU)","fiscal deficit, using INTN","gdp","UU",
54,"DEFN(NN)","fiscal deficit, using INTN","gdp","NN",
55,"DEFX(UU)","fiscal deficit, using INTR (exog)","gdp","UU",
56,"DEFX(NN)","fiscal deficit, using INTR (exog)","gdp","NN",
57,"ECOL(UU)","CO2 emissions from coal","mmt","UU",
58,"ECOL(NN)","CO2 emissions from coal","mmt","NN",
59,"EGAS(UU)","CO2 emissions from gas","mmt","UU",
60,"EGAS(NN)","CO2 emissions from gas","mmt","NN",
61,"EN(a01,g01,UU)","sector demand for E goods","gdp","UU",
62,"EN(a01,g01,NN)","sector demand for E goods","gdp","NN",
63,"EN(a02,g01,UU)","sector demand for E goods","gdp","UU",
64,"EN(a02,g01,NN)","sector demand for E goods","gdp","NN",
65,"ENT(a01,UU)","sector demand for E","gdp","UU",
66,"ENT(a01,NN)","sector demand for E","gdp","NN",
67,"ENT(a02,UU)","sector demand for E","gdp","UU",
68,"ENT(a02,NN)","sector demand for E","gdp","NN",
69,"EOIL(UU)","CO2 emissions from oil","mmt","UU",
70,"EOIL(NN)","CO2 emissions from oil","mmt","NN",
71,"EPRC(UU)","expected PRCT inflation rate","pct","UU",
72,"EPRC(NN)","expected PRCT inflation rate","pct","NN",
73,"EXCH(UU)","exch rate as US$ per unit of region currency","pct","UU",
74,"EXCH(NN)","exch rate as US$ per unit of region currency","pct","NN",
75,"EXCL(UU)","exch rate as US$ per unit of region currency - lagged","pct","UU",
76,"EXCL(NN)","exch rate as US$ per unit of region currency - lagged","pct","NN",
77,"EXCR(UU)","country risk premium relative to US","pct","UU",
78,"EXCR(NN)","country risk premium relative to US","pct","NN",
79,"EXCX(UU)","exch rate target ","pct","UU",
80,"EXCX(NN)","exch rate target ","pct","NN",
81,"EXQ(g01,UU)","exports, EXP.xx","gdp","UU",
82,"EXQ(g01,NN)","exports, EXP.xx","gdp","NN",
83,"EXQ(g02,UU)","exports, EXP.xx","gdp","UU",
84,"EXQ(g02,NN)","exports, EXP.xx","gdp","NN",
85,"EXQT(UU)","value of exports at source","gdp","UU",
86,"EXQT(NN)","value of exports at source","gdp","NN",
87,"EYGR(UU)","expected output growth","pct","UU",
88,"EYGR(NN)","expected output growth","pct","NN",
89,"GCE(g01,UU)","government purchases of goods&serv","gdp","UU",
90,"GCE(g01,NN)","government purchases of goods&serv","gdp","NN",
91,"GCE(g02,UU)","government purchases of goods&serv","gdp","UU",
92,"GCE(g02,NN)","government purchases of goods&serv","gdp","NN",
93,"GCET(UU)","national accounts G except gov labor","gdp","UU",
94,"GCET(NN)","national accounts G except gov labor","gdp","NN",
95,"GDPN(UU)","GDP, nominal","gdp","UU",
96,"GDPN(NN)","GDP, nominal","gdp","NN",
97,"GDPR(UU)","GDP, real","gdp","UU",
98,"GDPR(NN)","GDP, real","gdp","NN",
99,"GNPR(UU)","GNP, GDPR plus PBAL and interest","gdp","UU",
100,"GNPR(NN)","GNP, GDPR plus PBAL and interest","gdp","NN",
101,"GOVL(UU)","labor used by gov","gdp","UU",
102,"GOVL(NN)","labor used by gov","gdp","NN",
103,"GOVS(UU)","total gov spending","gdp","UU",
104,"GOVS(NN)","total gov spending","gdp","NN",
105,"GOVT(UU)","national accounts G including labor","gdp","UU",
106,"GOVT(NN)","national accounts G including labor","gdp","NN",
107,"IIN(g01,UU)","R demand for goods","gdp","UU",
108,"IIN(g01,NN)","R demand for goods","gdp","NN",
109,"IIN(g02,UU)","R demand for goods","gdp","UU",
110,"IIN(g02,NN)","R demand for goods","gdp","NN",
111,"IITE(UU)","R demand for E","gdp","UU",
112,"IITE(NN)","R demand for E","gdp","NN",
113,"IITL(UU)","R demand for L","gdp","UU",
114,"IITL(NN)","R demand for L","gdp","NN",
115,"IITO(UU)","R demand for M","gdp","UU",
116,"IITO(NN)","R demand for M","gdp","NN",
117,"IMP(g01,UU,UU)","individual imports, IMP.xy","gdp","UU",
118,"IMP(g01,UU,NN)","individual imports, IMP.xy","gdp","UU",
119,"IMP(g01,NN,UU)","individual imports, IMP.xy","gdp","NN",
120,"IMP(g01,NN,NN)","individual imports, IMP.xy","gdp","NN",
121,"IMP(g02,UU,UU)","individual imports, IMP.xy","gdp","UU",
122,"IMP(g02,UU,NN)","individual imports, IMP.xy","gdp","UU",
123,"IMP(g02,NN,UU)","individual imports, IMP.xy","gdp","NN",
124,"IMP(g02,NN,NN)","individual imports, IMP.xy","gdp","NN",
125,"IMPX(g01,UU,UU)","individual imports shift ","gdp","UU",
126,"IMPX(g01,UU,NN)","individual imports shift ","gdp","UU",
127,"IMPX(g01,NN,UU)","individual imports shift ","gdp","NN",
128,"IMPX(g01,NN,NN)","individual imports shift ","gdp","NN",
129,"IMPX(g02,UU,UU)","individual imports shift ","gdp","UU",
130,"IMPX(g02,UU,NN)","individual imports shift ","gdp","UU",
